time,body_idx,position_vec,force_vec
1.6,BodyIndex(3),"[0.00833, -0.025, 0.0]","[2.2201927871597274e-05, -6.106326906313491e-05, -4.161046853673388e-07]"
1.6,BodyIndex(3),"[0.02499, -0.025, 0.0]","[9.878602747166923e-05, -0.00027169702604509907, -1.8514306107792509e-06]"
1.6500000000000001,BodyIndex(3),"[0.00833, -0.025, 0.0]","[6.941915823197885e-05, 0.00011662076935685861, -1.6360269960272907e-06]"
1.6500000000000001,BodyIndex(3),"[0.02499, -0.025, 0.0]","[0.00010357236524494871, 0.00017399647628414016, -2.44092826676018e-06]"
1.7000000000000002,BodyIndex(3),"[0.00833, -0.025, 0.0]","[1.2571056877887283e-05, -2.2409737300271826e-05, -2.9190423871022445e-07]"
1.7000000000000002,BodyIndex(3),"[0.02499, -0.025, 0.0]","[4.630758759845604e-07, -8.255001016789052e-07, -1.075278016457921e-08]"
1.75,BodyIndex(3),"[0.00833, -0.025, 0.0]","[-2.608212885440145e-05, -8.977383950205947e-05, 9.105266209202663e-07]"
1.75,BodyIndex(3),"[0.02499, -0.025, 0.0]","[-0.00010889715178326393, -0.00037482045583761434, 3.801597492082174e-06]"
1.8,BodyIndex(3),"[0.00833, -0.025, 0.0]","[8.176581845964903e-06, 0.00014025575006867128, 4.539969371600593e-07]"
1.8,BodyIndex(3),"[0.02499, -0.025, 0.0]","[3.350465180585212e-05, 0.000574716936532408, 1.86031395355966e-06]"
1.85,BodyIndex(3),"[0.00833, -0.025, 0.0]","[2.5398179742866034e-05, -6.423705601072564e-05, -5.007355232531769e-07]"
1.85,BodyIndex(3),"[0.02499, -0.025, 0.0]","[0.00010209596904952333, -0.0002582210437401791, -2.012863874562228e-06]"
1.9000000000000001,BodyIndex(3),"[0.00833, -0.025, 0.0]","[6.45901615664833e-05, 0.0001066018882443167, -1.5230142287402484e-06]"
1.9000000000000001,BodyIndex(3),"[0.02499, -0.025, 0.0]","[8.826515333852197e-05, 0.00014567593243091024, -2.0812625510796966e-06]"
1.9500000000000002,BodyIndex(3),"[0.00833, -0.025, 0.0]","[1.3624589710505217e-05, -2.5178918086070843e-05, -3.1824337824381086e-07]"
1.9500000000000002,BodyIndex(3),"[0.02499, -0.025, 0.0]","[1.5566022823890274e-07, -2.876678284898671e-07, -3.6359140308463738e-09]"
2.0,BodyIndex(3),"[0.00833, -0.025, 0.0]","[-2.2186553410955534e-05, -8.668204608986959e-05, 8.254711436461693e-07]"
2.0,BodyIndex(3),"[0.02499, -0.025, 0.0]","[-9.933672748666905e-05, -0.0003881049314385337, 3.695914391281606e-06]"
